D7T1T8	1	60	170	221	249
W1NLY8	1	60	170	216	229
P29386	1	60	170	221	252
Q8LLR1	1	60	170	217	244
Q38837	1	60	167	218	244
Q2TDX2	1	60	170	216	241
W1PRJ9	1	61	175	212	241
O22456	1	61	176	223	251
F4KB90	1	61	173	222	262
A5C952	1	61	171	217	243
Q8LLR0	1	61	173	219	242
P29383	1	61	172	230	258
P29384	1	61	172	221	250
Q5D725	1	61	171	217	243
D7SIM7	1	61	172	218	246
Q8LLR2	1	61	172	218	244
D7T9Z7	1	61	171	217	243
O64645	1	60	158	172	214
F4KEP6	1	70	168	182	229
Q9FIS1	1	60	158	172	210
Q38838	1	61	158	172	221
D1MDP7	1	60	158	172	218
O82743	1	60	156	170	219
A1BQ41	1	60	158	172	218
D7SH01	1	60	194	227	235
F6HUJ0	1	60	158	172	214
W1NL13	1	60	157	171	223
Q9FLH5	1	60	158	172	211
A2RVQ5	1	60	156	184	240
O82794	1	60	157	171	215
W1NQY5	1	60	156	170	217
A0A1P8AYX0	1	61	157	185	230
Q9FVC1	1	60	171	185	237
Q38840	1	60	156	184	227
Q9SZJ6	1	60	156	184	228
A0A3G2BC07	1	60	156	170	213
D7U6A4	1	60	157	171	225
H9CTT8	1	60	171	223	235
D7T5C5	1	60	156	184	224
E0CNS3	1	60	156	184	235
U5DCD9	1	60	156	170	222
A0A3G2BC13	1	60	156	170	222
